"","text","created_at","lang"
"219","Awareness, Prevention, and Positive mental attitude are key for facing the #CoronavirusOutbreak. Such a lovely message from @katyperry. We must fight together for better outcomes.

#stayhealthy #WednesdayMotivation #IAmNotAVirus https://t.co/1sQb1jmrBM","2020-02-05T13:54:15.000Z","en"
"224","Ah, the best thing I’ve read today: “The Philippine president's office said in a statement: 'Let us not engage in discriminatory behavior, nor act with any bias towards our fellowmen. The reality is everyone is susceptible to the virus.'” #IAmNotAVirus","2020-02-05T12:42:55.000Z","en"
"225","Empathy in times of #Coronavirus. #IAmNotAVirus #JeNeSuisPasUnVirus (via Whatsapp) https://t.co/A05qJ1LTrZ","2020-02-05T12:02:06.000Z","en"
"229","#IAmNotAVirus  France's Asian community created a Twitter hashtag #Jenesuispasunvirus to push back against racist incidents as a result of coronavirus. https://t.co/NPkx3j5aXz","2020-02-05T11:13:18.000Z","en"
"230","Get the required Protection against the Corona Virus register your account today link in Bio 👆

#iamnotavirus 
#ppe
#ppedistributors 
#africa 
#womaninmining
#gauteng
#pretoria
#mpumalanga
#nelspruit
#klerksdorp… https://t.co/3lSnUnIcms","2020-02-05T10:32:06.000Z","en"
"233","In Italy, many Chinese restaurants have closed, children are being bullied in school and on streets. A one man street campaign of #IoNonSonoUnVirus started in Firenze, ending in #HugaChinese and public awareness 👇🏽👍🏽❤️ #ichbinkeinvirus #IAmNotAVirus #JeNeSuisPasUnVirus https://t.co/SOV7vCefNT","2020-02-05T09:09:18.000Z","en"
"237","It can be felt that the vast majority of people in mainland China have expressed their gratitude for assistance from countries around the world. Now, please don't discriminate against Chinese people who are caught in the epidemic. They are not viruses.
#我不是病毒
#IAmNotAVirus https://t.co/sS7jBeOdR4","2020-02-05T07:42:47.000Z","en"
"238","Second part of coronavirus rant #IAmNotAVirus https://t.co/S0NNsDeXmw","2020-02-05T05:44:08.000Z","en"
"239","Video shot by@autumnlovevogue. Happened on 2/1/2020. Headed home with a friend. He directed his coronavirus rant at me for 15 mins.There were other men on the train, they avoided eye contact with me. I felt trapped and scared. This was my first. #JeNeSuisPasUnVirus #IamNotAVirus https://t.co/cjkMCoYvRa","2020-02-05T05:33:35.000Z","en"
"240","As the coronavirus spreads, fear is fueling racism and xenophobia - CNN #IAmNotAVirus  https://t.co/mlLacqtat5","2020-02-05T04:27:29.000Z","en"
"244","Thank you!#IAmNotAVirus https://t.co/pPnxTdlqJD","2020-02-05T01:37:43.000Z","en"
"245","This type of ugliness runs so deep. Our Asian brothers and sisters don’t deserve this. #IamNotAVirus https://t.co/5gp2cGOEpz","2020-02-05T01:25:47.000Z","en"
"246","I AM NOT A VIRUS 
#IamNotAVirus","2020-02-05T00:22:15.000Z","en"
"247","I AM NOT A VIRUS 
#IamNotAVirus","2020-02-05T00:21:24.000Z","en"
"248","This thread has led to a brief story on BBC News! Online version of the segment here -- https://t.co/fBKBNlZ7o8

#coronavirus #coronavirusuk #IamNotAVirus","2020-02-05T00:14:33.000Z","en"
