"","text","created_at","lang"
"144","Thank you @GavinNewsom for bringing #awareness to the unnecessary and shameful acts of #violence and #discrimination against #AsianAmericans over the #COVID19  We are all #Americans. Let’s unite together to beat this #pandemic. #WashTheHate https://t.co/StcRGnEp41","2020-03-21T07:49:07.000Z","en"
"145","@ABC #WashTheHate 👏 Campaign joined by  @DisneysMulan actor Tzi Ma / @tzima8 to fight discrimination and violence against Asian people https://t.co/2yMdk8hrLl","2020-03-21T07:47:26.000Z","en"
"146","#WashTheHate 👏 Campaign joined by  @DisneysMulan actor Tzi Ma / @tzima8 to fight against discrimination and violence on Asian people https://t.co/BnlCFy5558 https://t.co/E4pSRVZp3Z","2020-03-21T07:46:59.000Z","en"
"148","@GMA @tzima8 This is not acceptable, Asian Americans have nothing to do with the pandemic. I’m sorry that happened to you Tzi. #WashTheHate","2020-03-21T07:26:19.000Z","en"
"151","Seriously!  #WashTheHate https://t.co/GyEb9mMi0D","2020-03-21T07:02:23.000Z","en"
"153","Yes this refugeekid is #triggered 🥺😖 Let’s do everything we can to  #FlattenTheCurve! 📈📉 

#FlattenIce #FreeThemAll #MutualAid #QuaratineAndChill #WashTheHate #SupportHealthcareWorkers #AbolitionistPublicHealth #PublicSafetyNetForAll #FightIgnoranceNotImmigrants #SaveLives ❤️","2020-03-21T06:14:19.000Z","en"
"154","how we look at someone who has the last pack of toilet paper 😏 #joking #ijs #currentreality #seriousbusiness #alljokesasidetho #besafe #stayhealthy #washthehate #lovenothate #theblacklist… https://t.co/TkYwAY1K0H","2020-03-21T04:27:53.000Z","en"
"155","""Mulan"" Star and Marvel Actors Join #WashtheHate Campaign Against Racism | Inside the Magic https://t.co/IAODZMn9a6","2020-03-21T03:35:40.000Z","en"
"156","@ABC Pass it on . . . #WashtheHate","2020-03-21T03:35:23.000Z","en"
"157","@DionLimTV Thank you for sharing your story and being an amazing Asian American journalist! #WashTheHate","2020-03-21T02:26:24.000Z","en"
"158","Join the #washthehate campaign! 💖 #coronavirusracism @crazywokeasians https://t.co/bA1QOeAqi7","2020-03-21T02:12:57.000Z","en"
"159","Didn't realize this was the Personal Protection Equipment outfit we needed in the U.S. #WashTheHate #cornoravirusus #Xenophobia #AsianAmerican #racism #Covid_19 https://t.co/ZGHWkXyBz1","2020-03-21T01:25:38.000Z","en"
"160","Well done @DionLimTV 📺 
""Our lives begin to end the day we become silent about things that matter.""~MLK, Jr. 

#abc7now #bettertogether #washthehate

cc:@abc7newsbayarea https://t.co/aOuyTnrpRn https://t.co/w8TB8sT6UD","2020-03-21T01:24:54.000Z","en"
"161","@JuJu_Chan Don’t discriminate💙🙏🏻 #WashTheHate","2020-03-21T00:56:48.000Z","en"
"163","@audreycleo @tzima8 Thank you for giving voice to this story and helping us #WashTheHate 💙","2020-03-21T00:06:23.000Z","en"
"164","#COVID19 @WHO Warns Us All,
"" You Are NOT Invincible!""
#WorldHealthOrganization 
#FactsMatter #ScienceMatters 
#SocialDistancing #StayHome 
#WashTheHate #WashYourHands 
#CoronavirusDoesntDiscriminate https://t.co/m0JqgIhi2t","2020-03-20T23:39:04.000Z","en"
"166","""Mulan"" Star and Other Marvel Actors Join #WashtheHate Campaign Against Racism 

https://t.co/HJec67fsHE https://t.co/z65UztCrjn","2020-03-20T23:35:02.000Z","en"
"167","@GMA @tzima8 Not ALL Asians are Chinese!

Stop protecting the EVIL communist Chinese Government.

#MSM is a virus infecting the USA

#WashTheHate of USA!

@bbc @cnni @msnbc @NBCNews 
https://t.co/e4n7zfuDUv","2020-03-20T23:11:45.000Z","en"
"168","Our beloved Tzi Ma @tzima8 got targeted shopping outside a Wholefoods. 😭 Be aware! Join the #washthehate campaign. 💖

#Repost stacyytchen with @get_repost
・・・
When you gotta work and social distance at the same… https://t.co/9doztDcuUe","2020-03-20T23:04:19.000Z","en"
"169","@stevesaldivar Thank you Governor Newsom #WashTheHate","2020-03-20T23:02:22.000Z","en"
"170","Be aware. 🔥🔥🔥So sorry @tzima8 had to experience this while shopping at Wholefoods. This coward drove off before he can even respond. Please join #washthehate campaign, together we will overcome this. 🤲
#Repost… https://t.co/SR0YUnNPp4","2020-03-20T22:57:47.000Z","en"
"171","""Hate will get you sick, even if the virus doesn't"" #WashTheHate https://t.co/rTUeiONYGi","2020-03-20T22:55:06.000Z","en"
"172","I said what I said 🤷🏽‍♀️ 💋🌿💨 #420 #StonerBabe #StayLifted #TGIF #WashTheHate #HornyAF https://t.co/tNj37eaR84","2020-03-20T22:54:46.000Z","en"
"173","Asian-American artists launch drive against virus-linked racism #washthehate https://t.co/s9jD55hweC via @inquirerdotnet","2020-03-20T22:52:40.000Z","en"
"174","Louisville liquor store's poor attempt at humor. #WashTheHate #RacismIsAVirus 
https://t.co/ZIA00CNx1u https://t.co/hcE6P7ld9X","2020-03-20T22:47:55.000Z","en"
"175","@ItsCeliaAu @WashTheHate I'm all in. #AsianAmericans #AsianTwitter #WashTheHate","2020-03-20T22:47:18.000Z","en"
"176","#Mulan star @tzima8 recalls racist attack and urges others to #WashTheHate. https://t.co/stASaxsyUA https://t.co/o1FuqDHr5r","2020-03-20T22:45:00.000Z","en"
